# N_nodes, Times_cpc, Times_elidan
2.000000,1.033486,0.069356
7.000000,101.023201,80.061609
12.000000,333.894957,1362.635471
17.000000,691.793901,3809.085350
22.000000,1115.568058,15360.768967
