# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
111.000000,0.975000,0.166667,0.283929
213.000000,0.983333,0.225000,0.357937
315.000000,1.000000,0.266667,0.414286
417.000000,1.000000,0.291667,0.446429
519.000000,1.000000,0.225000,0.358333
621.000000,1.000000,0.208333,0.339286
722.000000,1.000000,0.191667,0.317857
824.000000,1.000000,0.166667,0.285714
926.000000,0.950000,0.158333,0.271429
1028.000000,0.950000,0.158333,0.271429
1130.000000,1.000000,0.166667,0.285714
1232.000000,0.950000,0.158333,0.271429
1333.000000,0.975000,0.200000,0.317143
1435.000000,0.900000,0.166667,0.276190
1537.000000,0.837500,0.158333,0.258571
1639.000000,0.875000,0.166667,0.274405
1741.000000,0.862500,0.233333,0.344762
1843.000000,0.937500,0.225000,0.344286
1944.000000,0.950000,0.250000,0.367619
2046.000000,0.912500,0.225000,0.337619
2148.000000,0.725000,0.200000,0.299405
2250.000000,0.762500,0.275000,0.371905
2352.000000,0.800000,0.216667,0.316429
2454.000000,0.762500,0.258333,0.357738
2555.000000,0.662500,0.291667,0.381429
2657.000000,0.750000,0.241667,0.335357
2759.000000,0.650000,0.275000,0.359048
2861.000000,0.650000,0.258333,0.344881
2963.000000,0.750000,0.308333,0.406667
3065.000000,0.725000,0.291667,0.385833
3166.000000,0.600000,0.266667,0.343929
3268.000000,0.725000,0.366667,0.467857
3370.000000,0.662500,0.350000,0.439524
3472.000000,0.787500,0.391667,0.494762
3574.000000,0.525000,0.308333,0.380952
3676.000000,0.612500,0.400000,0.483333
3777.000000,0.512500,0.291667,0.363452
3879.000000,0.562500,0.333333,0.413333
3981.000000,0.712500,0.366667,0.466905
4083.000000,0.637500,0.408333,0.495833
4185.000000,0.600000,0.358333,0.443333
4287.000000,0.662500,0.391667,0.485833
4388.000000,0.650000,0.383333,0.471786
4490.000000,0.600000,0.375000,0.457500
4592.000000,0.675000,0.391667,0.484286
4694.000000,0.612500,0.391667,0.475000
4796.000000,0.487500,0.308333,0.375000
4898.000000,0.575000,0.325000,0.408333
5000.000000,0.575000,0.350000,0.430833
