# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
213.000000,0.134722,0.100000,0.114737
417.000000,0.173611,0.136364,0.152632
621.000000,0.197917,0.159091,0.176316
825.000000,0.222222,0.181818,0.200000
1029.000000,0.222222,0.181818,0.200000
1233.000000,0.222222,0.181818,0.200000
1437.000000,0.226111,0.186364,0.204286
1641.000000,0.233182,0.195455,0.212468
1844.000000,0.230000,0.190909,0.208571
2048.000000,0.237071,0.200000,0.216753
2252.000000,0.230000,0.190909,0.208571
2456.000000,0.233182,0.195455,0.212468
2660.000000,0.251212,0.218182,0.233117
2864.000000,0.233182,0.195455,0.212468
3068.000000,0.264646,0.236364,0.249091
3272.000000,0.247323,0.213636,0.228831
3475.000000,0.264646,0.236364,0.249091
3679.000000,0.265354,0.236364,0.249481
3883.000000,0.283384,0.259091,0.270130
4087.000000,0.264646,0.236364,0.249091
4291.000000,0.293636,0.272727,0.282208
4495.000000,0.330404,0.318182,0.323896
4699.000000,0.298232,0.277273,0.286883
4903.000000,0.325808,0.313636,0.319221
5106.000000,0.335354,0.327273,0.330909
5310.000000,0.336768,0.327273,0.331688
5514.000000,0.336061,0.327273,0.331299
5718.000000,0.304596,0.286364,0.294675
5922.000000,0.321919,0.309091,0.314935
6126.000000,0.346313,0.340909,0.343377
6330.000000,0.351869,0.350000,0.350768
6534.000000,0.336768,0.327273,0.331688
6737.000000,0.356566,0.354545,0.355455
6941.000000,0.353384,0.350000,0.351558
7145.000000,0.357273,0.354545,0.355844
7349.000000,0.358939,0.359091,0.358950
7553.000000,0.360455,0.359091,0.359740
7757.000000,0.360455,0.359091,0.359740
7961.000000,0.354433,0.354545,0.354210
8165.000000,0.353384,0.350000,0.351558
8368.000000,0.352020,0.350000,0.350909
8572.000000,0.360455,0.359091,0.359740
8776.000000,0.362121,0.363636,0.362846
8980.000000,0.363170,0.368182,0.365497
9184.000000,0.364685,0.368182,0.366288
9388.000000,0.360839,0.363636,0.362121
9592.000000,0.363170,0.368182,0.365497
9796.000000,0.360606,0.363636,0.362055
10000.000000,0.363636,0.363636,0.363636
