# Size, Precision, Recall, Fscore
10.000000,0.133333,0.087500,0.103571
1675.000000,0.171429,0.250000,0.202828
3341.000000,0.150000,0.250000,0.187273
5006.000000,0.146429,0.250000,0.184545
6672.000000,0.141964,0.250000,0.181061
8337.000000,0.145238,0.250000,0.183636
10003.000000,0.142857,0.250000,0.181818
11668.000000,0.142857,0.250000,0.181818
13334.000000,0.142857,0.250000,0.181818
15000.000000,0.142857,0.250000,0.181818
